DateSim,Amphoe_ID,Amphoe,Province_ID,Province,DateForecast,Rainfall,Watersupply,Reservoir,WaterDemand,WaterBalance,DroughtIndex,RunoffIndex
01/01/2022,5002,จอมทอง,50,เชียงใหม่,Forecastmon25,77.34463,14328.3493,100.0,9182.014799999999,-5146.3339,3,3
01/01/2022,5003,แม่แจ่ม,50,เชียงใหม่,Forecastmon25,82.59492,2955.5764,100.0,6643.690500000001,3688.1142,0,3
01/01/2022,5004,เชียงดาว,50,เชียงใหม่,Forecastmon25,86.5211,385.2923,100.0,5841.4139,5456.121499999999,0,3
01/01/2022,5005,ดอยสะเก็ด,50,เชียงใหม่,Forecastmon25,78.41602,86.8503,100.0,15881.0661,15794.2163,0,3
01/01/2022,5006,แม่แตง,50,เชียงใหม่,Forecastmon25,80.85349,3491.598,100.0,17295.5734,13803.9754,3,3
01/01/2022,5007,แม่ริม,50,เชียงใหม่,Forecastmon25,80.70179,1726.8667,100.0,6273.648499999999,4546.7821,0,3
01/01/2022,5008,สะเมิง,50,เชียงใหม่,Forecastmon25,86.2368,101.5096,100.0,1085.2118,983.7022,0,3
01/01/2022,5011,พร้าว,50,เชียงใหม่,Forecastmon25,82.5076,376.6351,100.0,6724.5047,6347.8694,0,3
01/01/2022,5012,สันป่าตอง,50,เชียงใหม่,Forecastmon25,74.93211,2676.0229,100.0,13693.6977,11017.6752,3,3
01/01/2022,5013,สันกำแพง,50,เชียงใหม่,Forecastmon25,75.743034,664.7214,100.0,10427.1923,9762.4708,0,3
01/01/2022,5014,สันทราย,50,เชียงใหม่,Forecastmon25,76.95369,2568.1215,100.0,15444.5347,12876.413700000001,3,3
01/01/2022,5015,หางดง,50,เชียงใหม่,Forecastmon25,78.590454,138.9932,100.0,11031.7727,10892.7798,0,3
01/01/2022,5016,ฮอด,50,เชียงใหม่,Forecastmon25,80.215935,7487.391799999999,100.0,5763.3232,-1724.0685000000005,3,3
01/01/2022,5017,ดอยเต่า,50,เชียงใหม่,Forecastmon25,77.22616,28799.9319,100.0,8386.2704,-20413.662,3,3
01/01/2022,5018,อมก๋อย,50,เชียงใหม่,Forecastmon25,82.59534,1406.4017999999999,100.0,7454.137299999999,6047.7355,0,3
01/01/2022,5019,สารภี,50,เชียงใหม่,Forecastmon25,78.74096,1888.6914000000002,100.0,9358.9025,7470.2109,0,3
01/01/2022,5020,เวียงแหง,50,เชียงใหม่,Forecastmon25,88.448,3.9223,100.0,538.7342,534.812,0,3
01/01/2022,5021,ไชยปราการ,50,เชียงใหม่,Forecastmon25,88.448,0.3832,100.0,96.6936,96.3105,0,3
01/01/2022,5022,แม่วาง,50,เชียงใหม่,Forecastmon25,76.08634,449.1936,100.0,3806.7378,3357.544,0,3
01/01/2022,5023,แม่ออน,50,เชียงใหม่,Forecastmon25,82.951584,66.7795,100.0,6211.4785,6144.6992,0,3
01/01/2022,5024,ดอยหล่อ,50,เชียงใหม่,Forecastmon25,81.72329,1593.4656,100.0,4552.6458,2959.1804,3,3
01/01/2022,5025,กัลยาณิวัฒนา,50,เชียงใหม่,Forecastmon25,86.65798,24.3256,100.0,3006.3925,2982.0673,0,3
01/01/2022,5101,เมืองลำพูน,51,ลำพูน,Forecastmon25,76.27888,1469.5818,100.0,16396.4951,14926.9131,0,3
01/01/2022,5102,แม่ทา,51,ลำพูน,Forecastmon25,87.21956,2.7642,100.0,1509.9746,1507.2102,0,3
01/01/2022,5103,บ้านโฮ่ง,51,ลำพูน,Forecastmon25,77.24458,2046.0933,100.0,3407.2316,1361.1382999999998,3,3
01/01/2022,5104,ลี้,51,ลำพูน,Forecastmon25,77.750305,16213.9496,100.0,9588.12,-6625.830199999999,0,3
01/01/2022,5105,ทุ่งหัวช้าง,51,ลำพูน,Forecastmon25,88.448,5.6615,100.0,1634.3904,1628.7287000000001,0,3
01/01/2022,5106,ป่าซาง,51,ลำพูน,Forecastmon25,80.89307,3442.5389000000005,100.0,6001.4309,2558.8921,3,3
01/01/2022,5107,บ้านธิ,51,ลำพูน,Forecastmon25,73.96991,381.9688,100.0,2162.5815000000002,1780.6127000000001,0,3
01/01/2022,5108,เวียงหนองล่อง,51,ลำพูน,Forecastmon25,79.47534,7460.8024000000005,100.0,3332.9156000000003,-4127.8867,3,3
01/01/2022,5804,แม่สะเรียง,58,แม่ฮ่องสอน,Forecastmon25,88.448,20.8272,100.0,118.99260000000001,98.1654,0,3
01/01/2022,5805,แม่ลาน้อย,58,แม่ฮ่องสอน,Forecastmon25,88.448,0.46599999999999997,100.0,136.3659,135.8999,0,3
01/01/2022,6201,เมืองกำแพงเพชร,62,กำแพงเพชร,Forecastmon25,78.33967,8908.0986,100.0,631.3221,-8276.7765,3,3
01/01/2022,6206,พรานกระต่าย,62,กำแพงเพชร,Forecastmon25,70.7584,5.0434,100.0,302.8964,297.8529,0,3
01/01/2022,6211,โกสัมพีนคร,62,กำแพงเพชร,Forecastmon25,76.900635,4591.9659,100.0,3244.1297999999997,-1347.8360000000002,3,3
01/01/2022,6301,เมืองตาก,63,ตาก,Forecastmon25,73.90239,24665.1721,100.0,9398.5474,-15266.625,3,3
01/01/2022,6302,บ้านตาก,63,ตาก,Forecastmon25,81.132515,15731.9694,100.0,9065.3456,-6666.6236,3,3
01/01/2022,6303,สามเงา,63,ตาก,Forecastmon25,70.22343,45385.7871,100.0,1627.3725,-43758.4144,3,3
